tmdb_id,title,popularity,release_date
76600,Avatar: The Way of Water,37.9423,2022-12-14
438148,Minions: The Rise of Gru,26.9823,2022-06-29
414906,The Batman,23.8676,2022-03-01
361743,Top Gun: Maverick,21.8113,2022-05-21
436270,Black Adam,17.343,2022-10-19
545611,Everything Everywhere All at Once,15.5802,2022-03-24
505026,Death on the Nile,17.7805,2022-02-09
507086,Jurassic World Dominion,17.5092,2022-06-01
952079,Invited Delivery Man 2,15.2763,2022-03-11
1063171,Rainforest First: Climate Protection in Central Africa,8.4177,2022-12-18
829557,365 Days: This Day,13.8254,2022-04-26
453395,Doctor Strange in the Multiverse of Madness,13.5003,2022-05-04
508947,Turning Red,13.1571,2022-03-10
985939,Fall,11.7651,2022-08-11
718930,Bullet Train,11.2803,2022-08-03
505642,Black Panther: Wakanda Forever,13.5534,2022-11-09
1009016,Two Maladroits in Life: A Love Story,10.9554,2022-07-01
629542,The Bad Guys,11.1782,2022-03-17
829560,The Next 365 Days,10.736,2022-08-18
829280,Enola Holmes 2,10.3065,2022-11-03
315162,Puss in Boots: The Last Wish,17.5104,2022-12-07
760104,X,9.3309,2022-03-17
752623,The Lost City,10.8036,2022-03-23
949423,Pearl,10.3111,2022-09-16
937278,A Man Called Otto,8.9474,2022-12-28
675353,Sonic the Hedgehog 2,9.5862,2022-03-30
646385,Scream,8.1808,2022-01-12
335787,Uncharted,8.3155,2022-02-10
718789,Lightyear,8.0788,2022-06-15
634429,Shin Ultraman,6.8514,2022-05-13
661374,Glass Onion: A Knives Out Mystery,8.5953,2022-11-23
593643,The Menu,8.2453,2022-11-17
585083,Hotel Transylvania: Transformania,8.3531,2022-01-31
762975,Purple Hearts,8.0156,2022-07-29
785084,The Whale,8.4697,2022-12-09
766507,Prey,7.8392,2022-08-02
49046,All Quiet on the Western Front,10.1256,2022-10-07
851644,20th Century Girl,7.6175,2022-10-06
882598,Smile,7.06,2022-09-23
1280340,The Good Next Door Sister,6.9201,2022-11-23
338953,Fantastic Beasts: The Secrets of Dumbledore,7.7316,2022-04-06
615173,The Witch: Part 2. The Other One,7.6867,2022-06-15
756999,The Black Phone,7.6687,2022-06-16
639933,The Northman,7.6509,2022-04-07
406759,Moonfall,7.6212,2022-02-02
851644,20th Century Girl,7.6175,2022-10-06
585511,Luck,7.5577,2022-08-05
916224,Suzume,7.5424,2022-11-11
762504,Nope,7.3077,2022-07-20
928358,Grand Jete,7.1945,2022-09-20
882598,Smile,7.06,2022-09-23
987573,Believers,7.0525,2022-07-08
619979,Deep Water,7.0361,2022-03-17
913290,Barbarian,7.0274,2022-09-08
663712,Terrifier 2,6.931,2022-10-06
1280340,The Good Next Door Sister,6.9201,2022-11-23
634429,Shin Ultraman,6.8514,2022-05-13
579974,RRR,6.8498,2022-03-24
899294,Frank and Penelope,6.5179,2022-06-03
725201,The Gray Man,6.4325,2022-07-13
